Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x3][0x2a],3 [0x5][0x1c],4 [0x5][0x1e],5 [0x5][0x20],6 [0x5][0x22],7 [0x3][0x2b],8 [0x3][0x2c],9 [0x5][0x24],10 [0x3][0x2d],11 [0x3][0x2e],12 [0x19][0x35],13 [0x1a][0x35],14 [0x1b][0x35],15 [0x5][0x26],16 [0x6][0xc],17 [0x6][0x10],18 [0x7][0x8],19 [0x5][0x28],20 [0x6][0x14],21 [0x6][0x18],22 [0x3][0x2f],23 [0x2][0x33],24 [0x2][0x34],25 [0x1c][0x35],26 [0x3][0x30],27 [0x3][0x31],28 [0x3][0x32]
128,"s1t1","ffxiv/sea_s1/twn/s1t1/level/s1t1",1,22,500,28,11,0,0,0,131,0,true,false,false,1020,122007,123002,852085,0,8,-1,0,-1,0,false,0,0,0
129,"s1t2","ffxiv/sea_s1/twn/s1t2/level/s1t2",1,22,500,29,12,0,0,0,132,0,true,false,false,1020,122007,123003,852088,0,8,-1,0,-1,1,false,0,0,0
130,"w1t1","ffxiv/wil_w1/twn/w1t1/level/w1t1",1,24,504,40,13,0,0,0,133,0,true,false,false,1035,122008,123102,852086,0,9,-1,0,-1,2,false,0,0,0
131,"w1t2","ffxiv/wil_w1/twn/w1t2/level/w1t2",1,24,504,41,14,0,0,0,134,0,true,false,false,1035,122008,123103,0,0,9,-1,0,-1,3,false,0,0,0
132,"f1t1","ffxiv/fst_f1/twn/f1t1/level/f1t1",1,23,506,52,2,0,0,0,129,0,true,false,false,1003,122009,123202,852087,0,2,-1,2,-1,4,false,0,0,0
133,"f1t2","ffxiv/fst_f1/twn/f1t2/level/f1t2",1,23,506,53,3,0,0,0,130,0,true,false,false,1003,122009,123203,852103,0,2,-1,0,-1,5,false,0,0,0
134,"s1f1","ffxiv/sea_s1/fld/s1f1/level/s1f1",1,22,502,30,15,0,1,0,16,0,true,true,true,1021,122001,123004,852316,0,52,-1,0,-1,6,false,0,0,0
135,"s1f2","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,22,502,31,16,0,1,0,17,0,true,true,true,1021,122001,123005,0,0,10,-1,0,-1,7,false,0,0,0
136,"s1h1_test","ffxiv/sea_s1/hou/s1h1/level/s1h1",1,22,502,425,72,0,0,0,14,0,false,false,false,1083,122001,123010,0,0,8,-1,0,-1,8,false,0,0,0
137,"s1f3","ffxiv/sea_s1/fld/s1f3/level/s1f3",1,22,502,32,17,0,1,0,18,0,true,true,true,1021,122001,123006,0,0,11,-1,0,-1,9,false,0,0,0
138,"s1f4","ffxiv/sea_s1/fld/s1f4/level/s1f4",1,22,502,33,18,0,1,0,19,0,true,true,true,1021,122001,123007,852317,0,13,-1,0,-1,10,false,0,0,0
139,"s1f5","ffxiv/sea_s1/fld/s1f5/level/s1f5",1,22,502,34,19,0,1,0,20,0,true,true,true,1021,122001,123008,0,0,15,-1,0,-1,11,false,0,0,0
140,"w1f1","ffxiv/wil_w1/fld/w1f1/level/w1f1",1,24,505,42,20,0,1,0,9,0,true,true,true,1036,122002,123104,852089,0,17,-1,0,-1,12,false,0,0,0
141,"w1f2","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,24,505,43,21,0,1,0,10,0,true,true,true,1036,122002,123105,852111,0,53,-1,0,-1,13,false,0,0,0
142,"w1d7_battle","ffxiv/wil_w1/dun/w1d7/level/w1d7",1,24,505,49,195,2,10,81,0,0,true,false,false,1001,122002,124116,0,0,0,-1,68,-1,-1,false,0,0,0
143,"r1fd","ffxiv/roc_r1/fld/r1fd/level/r1fd",1,25,508,406,186,2,24,83,28,2,true,false,false,1001,122004,124313,0,0,0,-1,88,-1,-1,false,0,0,0
144,"w1eb","ffxiv/wil_w1/evt/w1eb/level/w1eb",1,24,505,1484,196,0,23,0,0,0,true,false,false,1143,122002,124117,0,0,62,-1,77,-1,-1,false,0,0,0
145,"w1f3","ffxiv/wil_w1/fld/w1f3/level/w1f3",1,24,505,44,22,0,1,0,11,0,true,true,true,1036,122002,123106,853019,0,18,-1,0,-1,14,false,0,0,0
146,"w1f4","ffxiv/wil_w1/fld/w1f4/level/w1f4",1,24,505,45,23,0,1,0,12,0,true,true,true,1036,122002,123107,852388,0,19,-1,0,-1,15,false,0,0,0
147,"w1f5","ffxiv/wil_w1/fld/w1f5/level/w1f5",1,24,505,46,24,0,1,0,13,0,true,true,true,1036,122002,123108,852014,0,21,-1,0,-1,16,false,0,0,0
148,"f1f1","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,0,1,0,3,0,true,true,true,1004,122003,123204,852246,0,3,-1,0,-1,17,false,0,0,0
149,"z1z3","ffxiv/sea_s1/pvp/s1p5/level/s1p5",4,22,502,1664,285,2,28,128,65,0,true,false,false,1001,122001,124016,0,0,0,-1,138,-1,-1,true,1,0,0
150,"l1d1","ffxiv/lak_l1/dun/l1d1/level/l1d1",1,26,509,418,201,2,3,32,74,0,true,false,false,1001,122005,124401,0,0,0,-1,87,-1,-1,false,0,0,0
151,"l1r3","ffxiv/lak_l1/rad/l1r3/level/l1r3",1,26,509,1431,184,2,8,111,0,0,true,false,false,1001,122011,124603,0,0,0,-1,0,-1,-1,false,0,0,0
152,"f1f2","ffxiv/fst_f1/fld/f1f2/level/f1f2",1,23,507,55,5,0,1,0,4,0,true,true,true,1004,122003,123205,852446,0,4,-1,0,-1,18,false,0,0,11
153,"f1f3","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,23,507,56,6,0,1,0,5,0,true,true,true,1004,122003,123206,852244,0,5,-1,0,-1,19,false,0,0,0
154,"f1f4","ffxiv/fst_f1/fld/f1f4/level/f1f4",1,23,507,57,7,0,1,0,6,0,true,true,true,1004,122003,123207,0,0,7,-1,0,-1,20,false,0,0,0
155,"r1f1","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,63,53,0,1,0,21,1,true,true,true,1072,122004,123301,852247,0,23,-1,0,-1,21,false,0,0,10
156,"l1f1","ffxiv/lak_l1/fld/l1f1/level/l1f1",1,26,509,67,25,0,1,0,22,0,true,true,true,1073,122005,123401,852412,0,24,-1,0,-1,22,false,0,0,0
157,"s1d1","ffxiv/sea_s1/dun/s1d1/level/s1d1",1,22,502,35,31,2,3,4,0,0,true,false,false,1032,122001,124001,0,0,0,-1,24,-1,-1,false,0,0,0
158,"s1d2","ffxiv/sea_s1/dun/s1d2/level/s1d2",1,22,502,36,45,2,3,8,0,0,true,false,false,1033,122001,124003,0,0,0,-1,25,-1,-1,false,0,0,0
159,"s1d3","ffxiv/sea_s1/dun/s1d3/level/s1d3",1,22,502,37,32,2,3,10,0,0,true,false,false,1034,122001,124005,0,0,0,-1,26,-1,-1,false,0,0,0
160,"s1d4","ffxiv/sea_s1/dun/s1d4/level/s1d4",1,22,502,230,108,2,3,17,28,0,true,false,false,1001,122001,124007,0,0,0,-1,19,-1,-1,false,0,0,0
161,"w1d1","ffxiv/wil_w1/dun/w1d1/level/w1d1",1,24,505,48,34,2,3,3,0,0,true,false,false,1047,122002,124101,0,0,0,-1,29,-1,-1,false,0,0,0
162,"w1d2","ffxiv/wil_w1/dun/w1d2/level/w1d2",1,24,505,49,46,2,3,7,0,0,true,false,false,1048,122002,124103,0,0,0,-1,30,-1,-1,false,0,0,0
163,"w1d3","ffxiv/wil_w1/dun/w1d3/level/w1d3",1,24,505,50,42,2,3,9,0,0,true,false,false,1049,122002,124105,0,0,0,-1,13,-1,-1,false,0,0,0
164,"f1d1","ffxiv/fst_f1/dun/f1d1/level/f1d1",1,23,507,58,8,2,3,2,0,0,true,false,false,1015,122003,124201,0,0,0,-1,28,-1,-1,false,0,0,0
166,"f1d2","ffxiv/fst_f1/dun/f1d2/level/f1d2",1,23,507,59,48,2,3,6,0,0,true,false,false,1017,122003,124203,0,0,0,-1,32,-1,-1,false,0,0,0
167,"f1d3","ffxiv/fst_f1/dun/f1d3/level/f1d3",1,23,507,128,49,2,3,14,28,0,true,false,false,1018,122003,124205,0,0,0,-1,7,-1,-1,false,0,0,0
168,"r1d1","ffxiv/roc_r1/dun/r1d1/level/r1d1",1,25,508,401,37,2,3,11,27,2,true,false,false,1069,122004,124301,0,0,0,-1,12,-1,-1,false,0,0,0
169,"f1r1","ffxiv/fst_f1/rad/f1r1/level/f1r1",1,23,507,61,9,2,3,1,0,0,true,false,false,1016,122003,124207,0,0,0,-1,31,-1,-1,false,0,0,0
170,"w1r1","ffxiv/wil_w1/rad/w1r1/level/w1r1",1,24,505,47,52,2,3,12,0,0,true,false,false,1050,122002,124107,0,0,0,-1,8,-1,-1,false,0,0,0
171,"r1r1","ffxiv/roc_r1/rad/r1r1/level/r1r1",1,25,508,64,50,2,3,13,0,0,true,false,false,1070,122004,124303,0,0,0,-1,9,-1,-1,false,0,0,0
172,"r1r2","ffxiv/roc_r1/rad/r1r2/level/r1r2",1,25,508,65,38,2,3,5,0,0,true,false,false,1071,122004,124304,0,0,0,-1,33,-1,-1,false,0,0,0
174,"l1r1","ffxiv/lak_l1/rad/l1r1/level/l1r1",1,26,509,478,71,2,8,92,0,0,true,false,false,1001,122011,124601,0,0,0,-1,21,-1,-1,false,0,0,0
175,"s1p2","ffxiv/sea_s1/pvp/s1p2/level/s1p2",4,22,502,154,81,2,4,121,29,0,true,false,false,1001,122001,124006,0,0,0,-1,0,-1,-1,true,0,0,0
176,"z1j1","ffxiv/zon_z1/jai/z1j1/level/z1j1",1,148,0,153,1,0,5,0,0,0,false,false,false,1001,-1,-1,0,0,55,-1,0,-1,-1,false,0,0,0
177,"s1ti","ffxiv/sea_s1/twn/s1ti/level/s1ti",1,22,500,733,26,0,2,0,0,0,true,false,false,5,122001,123001,852012,0,8,-1,0,-1,23,false,0,0,0
178,"w1ti","ffxiv/wil_w1/twn/w1ti/level/w1ti",1,24,504,617,27,0,2,0,0,0,true,false,false,5,122002,123101,852013,0,9,-1,0,-1,24,false,0,0,0
179,"f1ti","ffxiv/fst_f1/twn/f1ti/level/f1ti",1,23,506,548,28,0,2,0,0,0,true,false,false,5,122003,123201,852098,0,2,-1,0,-1,25,false,0,0,0
180,"s1f6","ffxiv/sea_s1/fld/s1f6/level/s1f6",1,22,502,350,30,0,1,0,24,0,true,true,true,1021,122001,123009,852387,0,16,-1,0,-1,26,false,0,0,0
181,"s1t1_opening","ffxiv/sea_s1/twn/s1t1/level/s1t1",1,22,500,27,11,0,6,0,0,0,true,false,false,1020,122007,123002,852076,0,8,1300,0,-1,-1,false,0,0,0
182,"w1t1_opening","ffxiv/wil_w1/twn/w1t1/level/w1t1",1,24,504,40,13,0,6,0,0,0,true,false,false,1035,122008,123102,852077,0,9,1300,0,-1,-1,false,0,0,0
183,"f1t1_opening","ffxiv/fst_f1/twn/f1t1/level/f1t1",1,23,506,52,2,0,6,0,0,0,true,false,false,1003,122009,123202,852073,0,2,1300,0,-1,-1,false,0,0,0
184,"s1p2_005","ffxiv/sea_s1/pvp/s1p2/level/s1p2",4,22,502,154,81,2,4,125,29,0,true,false,false,1001,122001,124006,0,0,0,-1,0,-1,-1,true,0,0,0
185,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
186,"s1p2_006","ffxiv/sea_s1/pvp/s1p2/level/s1p2",4,22,502,154,81,2,4,126,29,0,true,false,false,1001,122001,124006,0,0,0,-1,0,-1,-1,true,0,0,0
187,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
188,"s1d8","ffxiv/sea_s1/dun/s1d8/level/s1d8",1,22,502,37,188,2,3,30,40,0,true,false,false,1001,122001,124014,0,0,0,-1,81,-1,-1,false,0,0,0
189,"f1d7","ffxiv/fst_f1/dun/f1d7/level/f1d7",1,23,507,128,189,2,3,29,40,0,true,false,false,1001,122003,124212,0,0,0,-1,79,-1,-1,false,0,0,0
190,"go002","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,2,3,43,3,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
191,"go005","ffxiv/fst_f1/fld/f1f2/level/f1f2",1,23,507,55,5,2,3,46,4,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
192,"go006","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,23,507,56,6,2,3,47,5,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
193,"w1b1","ffxiv/wil_w1/bah/w1b1/level/w1b1",1,24,505,1406,175,2,16,107,0,0,true,false,false,1001,122013,124531,0,0,0,-1,60,-1,-1,false,0,0,0
194,"w1b2","ffxiv/wil_w1/bah/w1b2/level/w1b2",1,24,505,1407,176,2,16,108,0,0,true,false,false,1001,122013,124532,0,0,0,-1,61,-1,-1,false,0,0,0
195,"w1b3","ffxiv/wil_w1/bah/w1b3/level/w1b3",1,24,505,1408,177,2,17,109,0,0,true,false,false,1001,122013,124533,0,0,0,-1,62,-1,-1,false,0,0,0
196,"w1b4","ffxiv/wil_w1/bah/w1b4/level/w1b4",1,24,505,1409,178,2,17,110,44,0,true,false,false,1001,122010,124534,0,0,0,-1,63,-1,-1,false,0,0,0
197,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
198,"s1e4","ffxiv/sea_s1/evt/s1e4/level/s1e4",1,22,500,351,75,0,15,0,14,0,true,false,false,75,-1,-1,852801,0,8,-1,0,-1,-1,false,0,0,0
199,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
200,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
201,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
202,"w1fa","ffxiv/wil_w1/fld/w1fa/level/w1fa",1,24,505,357,35,2,10,56,25,0,true,false,false,1001,-1,-1,0,0,0,-1,5,-1,-1,false,0,0,0
203,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
204,"f1e4","ffxiv/fst_f1/evt/f1e4/level/f1e4",1,23,506,346,68,0,15,0,0,0,true,false,false,85,-1,-1,0,0,2,-1,0,-1,-1,false,0,0,0
205,"f1e5","ffxiv/fst_f1/evt/f1e5/level/f1e5",1,23,506,347,69,0,15,0,0,0,true,false,false,73,-1,-1,0,0,2,-1,0,-1,-1,false,0,0,0
206,"s1fa","ffxiv/sea_s1/fld/s1fa/level/s1fa",1,22,502,359,33,2,10,57,23,0,true,false,false,1001,-1,-1,0,0,0,-1,6,-1,-1,false,0,0,0
207,"f1fa","ffxiv/fst_f1/fld/f1fa/level/f1fa",1,23,507,360,36,2,10,66,30,0,true,false,false,1001,122003,124208,0,0,0,-1,18,-1,-1,false,0,0,0
208,"r1fa","ffxiv/roc_r1/fld/r1fa/level/r1fa",1,25,508,361,39,2,10,58,26,0,true,false,false,1001,-1,-1,0,0,0,-1,10,-1,-1,false,0,0,0
209,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
210,"w1e4","ffxiv/wil_w1/evt/w1e4/level/w1e4",1,24,504,354,78,0,15,0,0,0,true,false,false,85,-1,-1,0,0,9,-1,0,-1,-1,false,0,0,0
211,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
212,"w1e6","ffxiv/wil_w1/evt/w1e6/level/w1e6",1,24,505,356,80,0,15,0,0,0,true,false,false,1036,-1,-1,852093,0,17,-1,0,-1,-1,false,0,0,0
213,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
214,"go001","ffxiv/sea_s1/fld/s1f1/level/s1f1",1,22,502,30,15,2,3,42,16,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
215,"go003","ffxiv/wil_w1/fld/w1f1/level/w1f1",1,24,505,42,20,2,3,44,9,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
216,"go004","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,24,505,43,21,2,3,45,10,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
217,"w1d4","ffxiv/wil_w1/dun/w1d4/level/w1d4",1,24,505,260,47,2,3,15,0,0,true,false,false,1001,122002,124112,0,0,0,-1,35,-1,-1,false,0,0,0
218,"","",0,0,0,0,0,0,0,0,0,0,false,false,false,0,0,0,0,0,0,0,0,0,0,false,0,0,0
219,"go008","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,2,3,49,3,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
220,"go007","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,23,507,56,6,2,3,48,5,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
221,"go009","ffxiv/sea_s1/fld/s1f5/level/s1f5",1,22,502,34,19,2,3,50,20,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
222,"go010","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,22,502,31,16,2,3,51,17,0,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
223,"go011","ffxiv/roc_r1/fld/r1f1/level/r1f1",1,25,508,63,53,2,3,52,21,2,true,false,false,1001,-1,-1,0,0,0,-1,0,-1,-1,false,0,0,0
224,"w1d5","ffxiv/wil_w1/dun/w1d5/level/w1d5",1,24,505,430,56,2,3,16,0,0,true,false,false,1001,122002,124113,0,0,0,-1,14,-1,-1,false,0,0,0
225,"e0002","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,3,9,0,3,0,true,false,false,37,122003,123204,0,15,0,-1,0,-1,-1,false,0,0,0
226,"e0003","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,3,9,0,3,0,true,false,false,36,122003,123204,0,12,0,-1,0,-1,-1,false,0,0,0
227,"e0004","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,3,9,0,3,0,true,false,false,37,122003,123204,0,14,0,-1,0,-1,-1,false,0,0,0
228,"e0007","ffxiv/fst_f1/fld/f1f4/level/f1f4",1,23,507,57,7,3,9,0,6,0,true,false,false,37,122003,123207,0,6,0,-1,0,-1,-1,false,0,0,0
229,"e0008","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,23,507,56,6,3,9,0,5,0,true,false,false,37,122003,123206,0,5,0,-1,0,-1,-1,false,0,0,0
230,"e0009","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,3,9,0,3,0,true,false,false,37,122003,123204,0,4,0,-1,0,-1,-1,false,0,0,0
231,"e0010","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,23,507,56,6,3,9,0,5,0,true,false,false,37,122003,123206,0,2,0,-1,0,-1,-1,false,0,0,0
232,"e0016","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,23,507,56,6,3,9,0,5,0,true,false,false,39,122003,123206,0,13,0,-1,0,-1,-1,false,0,0,0
233,"e0001","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,3,9,0,3,0,true,false,false,37,122003,123204,0,11,0,-1,0,-1,-1,false,0,0,0
234,"e0005","ffxiv/fst_f1/fld/f1f2/level/f1f2",1,23,507,55,5,3,9,0,4,0,true,false,false,39,122003,123205,0,16,0,-1,0,-1,-1,false,0,0,0
235,"e0006","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,23,507,56,6,3,9,0,5,0,true,false,false,113,122003,123206,0,17,0,-1,0,-1,-1,false,0,0,0
236,"e0011","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,23,507,56,6,3,9,0,5,0,true,false,false,113,122003,123206,0,3,0,-1,0,-1,-1,false,0,0,0
237,"e0012","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,3,9,0,3,0,true,false,false,37,122003,123204,0,7,0,-1,0,-1,-1,false,0,0,0
238,"e0013","ffxiv/fst_f1/twn/f1t2/level/f1t2",1,23,506,53,3,3,9,0,2,0,true,false,false,39,122009,123203,0,8,0,-1,0,-1,-1,false,0,0,0
239,"e0014","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,23,507,54,4,3,9,0,3,0,true,false,false,37,122003,123204,0,9,0,-1,0,-1,-1,false,0,0,0
240,"e0015","ffxiv/fst_f1/fld/f1f4/level/f1f4",1,23,507,57,7,3,9,0,6,0,true,false,false,113,122003,123207,0,10,0,-1,0,-1,-1,false,0,0,0
241,"s1b1","ffxiv/sea_s1/bah/s1b1/level/s1b1",1,22,502,464,57,2,16,93,0,0,true,false,false,1001,122001,124501,0,0,0,-1,0,-1,-1,false,0,0,0
242,"s1b2","ffxiv/sea_s1/bah/s1b2/level/s1b2",1,22,502,465,58,2,17,94,0,0,true,false,false,1001,122001,124502,0,0,0,-1,11,-1,-1,false,0,0,0
243,"s1b3","ffxiv/sea_s1/bah/s1b3/level/s1b3",1,22,502,466,62,2,16,95,0,0,true,false,false,1001,122006,124503,0,0,0,-1,0,-1,-1,false,0,0,0
244,"s1b4","ffxiv/sea_s1/bah/s1b4/level/s1b4",1,22,502,467,59,2,17,96,0,0,true,false,false,1001,122006,124504,0,0,0,-1,0,-1,-1,false,0,0,0
245,"s1b5","ffxiv/sea_s1/bah/s1b5/level/s1b5",1,22,502,468,60,2,16,97,0,0,true,false,false,1001,122006,124505,0,0,0,-1,15,-1,-1,false,0,0,0
246,"w1b5","ffxiv/wil_w1/bah/w1b5/level/w1b5",1,24,505,1410,1,0,12,0,0,0,true,false,false,1001,122014,124535,852738,0,22,-1,0,-1,-1,false,0,0,0
247,"s1b7","ffxiv/sea_s1/bah/s1b7/level/s1b7",1,22,502,469,1,0,12,0,0,0,true,false,false,1001,122006,124506,0,0,22,-1,0,-1,-1,false,0,0,0
248,"e0017","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,24,505,43,21,3,9,0,10,0,true,false,false,37,122002,123105,0,18,0,-1,0,-1,-1,false,0,0,0
249,"e0018","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,22,502,31,16,3,9,0,17,0,true,false,false,117,122001,123005,0,24,0,-1,0,-1,-1,false,0,0,0
250,"s1p1","ffxiv/sea_s1/pvp/s1p1/level/s1p1",1,22,502,358,51,0,1,0,29,0,true,false,false,1081,122001,123011,0,0,55,-1,0,-1,27,true,0,0,0
251,"e0028","ffxiv/wil_w1/twn/w1t1/level/w1t1",1,24,504,40,13,3,9,0,7,0,true,false,false,113,122008,123102,0,34,0,-1,0,-1,-1,false,0,0,0
252,"e0038","ffxiv/sea_s1/fld/s1f1/level/s1f1",1,22,502,30,15,3,9,0,16,0,true,false,false,37,122001,123004,0,35,0,-1,0,-1,-1,false,0,0,0
253,"e0019","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,24,505,43,21,3,9,0,10,0,true,false,false,37,122002,123105,0,19,0,-1,0,-1,-1,false,0,0,0
254,"e0020","ffxiv/wil_w1/twn/w1t1/level/w1t1",1,24,504,40,13,3,9,0,7,0,true,false,false,37,122008,123102,0,20,0,-1,0,-1,-1,false,0,0,0
255,"e0021","ffxiv/wil_w1/fld/w1f1/level/w1f1",1,24,505,42,20,3,9,0,9,0,true,false,false,37,122002,123104,0,21,0,-1,0,-1,-1,false,0,0,0
256,"e0022","ffxiv/wil_w1/fld/w1f3/level/w1f3",1,24,505,44,22,3,9,0,11,0,true,false,false,39,122002,123106,0,22,0,-1,0,-1,-1,false,0,0,0
257,"e0023","ffxiv/wil_w1/fld/w1f3/level/w1f3",1,24,505,44,22,3,9,0,11,0,true,false,false,113,122002,123106,0,23,0,-1,0,-1,-1,false,0,0,0
